specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Dentist,200 EGP,,null,Loran : El Horreya Street,null
Gynecologist,150 EGP,,null,El-Haram : Elharam,null
Pediatrician,250 EGP,,null,El-Shorouk : Panorama Mall Street,null
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia : Lagatia Street,From 68 Visitors
Dentist,250 EGP,,null,El-Dokki : null,From   Visitor
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City : Street 11,From 90 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Oncologist,450 EGP,5,Waiting Time : 18 Minutes,null,From 9 Visitors
Internist,250 EGP,5,Waiting Time : 25 Minutes,null,From 7 Visitors
Physiotherapist,400 EGP,5,Waiting Time : 8 Minutes,6th of October : above el-mokhtbar laboratory,From 7 Visitors
General Surgeon,300 EGP,5,Waiting Time : 8 Minutes,West El-Balad : Alabagieah Buildings-Elsayeda Aisha,From 7 Visitors
Orthopedist,250 EGP,5,Waiting Time : 22 Minutes,null,From 9 Visitors
Gastroenterologist,400 EGP,5,Waiting Time : 32 Minutes,null,From 9 Visitors
Allergist,400 EGP,5,Waiting Time : 10 Minutes,null,From 4 Visitors
Gynecologist,500 EGP,5,Waiting Time : 36 Minutes,null,From 9 Visitors
Anesthesiologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 10 Minutes,null,From 4 Visitors
Gynecologist,300 EGP,5,Waiting Time : 28 Minutes,null,From 4 Visitors
Pediatrician,300 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,175 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 9 Minutes,Nasr City : EL Nasr ST,From 5 Visitors
Internist,650 EGP,5,Waiting Time : 17 Minutes,null,From 7 Visitors
Neurosurgeon,750 EGP,5,Waiting Time : 24 Minutes,null,From 7 Visitors
Surgical Oncologist,400 EGP,5,Waiting Time : 58 Minutes,null,From 4 Visitors
Orthopedist,400 EGP,5,Waiting Time : 14 Minutes,null,From 7 Visitors
Nutritionist,300 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Gynecologist,750 EGP,5,Waiting Time : 16 Minutes,null,From 4 Visitors
Cardiologist,120 EGP,5,Waiting Time : 8 Minutes,El-Zagazig : the beginning of Farooq st,From 5 Visitors
Dentist,300 EGP,5,Waiting Time : 14 Minutes,null,From 5 Visitors
Surgical Oncologist,500 EGP,5,Waiting Time : 23 Minutes,null,From 4 Visitors
Cardiologist,350 EGP,5,Waiting Time : 5 Minutes,El-Sheikh Zayed : District 12 Courtyard zayed,From 8 Visitors
Cardiologist,300 EGP,5,Waiting Time : 16 Minutes,null,From 4 Visitors
Pediatrician,350 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Andrologist,250 EGP,5,Waiting Time : 10 Minutes,Hadayek El-Kobba : Teraet elgendy st,From 9 Visitors
Cardiologist,300 EGP,5,Waiting Time : 16 Minutes,null,From 5 Visitors
Psychiatrist,600 EGP,5,Waiting Time : 18 Minutes,null,From 5 Visitors
ENT Doctor,150 EGP,5,Waiting Time : 11 Minutes,Janaklees : Abo Qir street,From 4 Visitors
ENT Doctor,500 EGP,5,Waiting Time : 58 Minutes,null,From 4 Visitors
Surgical Oncologist,150 EGP,5,Waiting Time : 15 Minutes,Tanta : Elmoderia,From 8 Visitors
General Surgeon,400 EGP,5,Waiting Time : 16 Minutes,null,From 5 Visitors
Gynecologist,250 EGP,5,Waiting Time : 15 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 11 Minutes,null,From 4 Visitors
Pediatrician,650 EGP,5,Waiting Time : 40 Minutes,null,From 7 Visitors
Physiotherapist,200 EGP,5,Waiting Time : 7 Minutes,Nasr City : Makram Ebaid,From 5 Visitors
Orthopedist,300 EGP,5,Waiting Time : 30 Minutes,null,From 4 Visitors
Plastic Surgeon,200 EGP,5,Waiting Time : 32 Minutes,Faisal : Faisal street - Talbeia,From 9 Visitors
Physiotherapist,200 EGP,5,Waiting Time : 17 Minutes,Shoubra : shopra,From 10 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 8 Minutes,Hadayek Helwan : almonzer,From 4 Visitors
Orthopedist,400 EGP,5,Waiting Time : 12 Minutes,New Cairo : north teseen street,From 4 Visitors
General Surgeon,500 EGP,5,Waiting Time : 10 Minutes,null,From 5 Visitors
Dermatologist,500 EGP,5,Waiting Time : 34 Minutes,null,From 7 Visitors
Rheumatologist,500 EGP,5,Waiting Time : 15 Minutes,null,From 4 Visitors
Pediatrician,350 EGP,5,Waiting Time : 21 Minutes,null,From 4 Visitors
Gynecologist,450 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Neurosurgeon,300 EGP,5,Waiting Time : 15 Minutes,El-Shorouk : Panorama Mall Street,From 4 Visitors
Cardiologist,150 EGP,5,Waiting Time : 8 Minutes,Moharam Bek : Galal El Dosoky street -Wabour El Meah,From 8 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Oncologist,450 EGP,5,Waiting Time : 18 Minutes,null,From 9 Visitors
Internist,250 EGP,5,Waiting Time : 25 Minutes,null,From 7 Visitors
Physiotherapist,400 EGP,5,Waiting Time : 8 Minutes,6th of October : above el-mokhtbar laboratory,From 7 Visitors
General Surgeon,300 EGP,5,Waiting Time : 8 Minutes,West El-Balad : Alabagieah Buildings-Elsayeda Aisha,From 7 Visitors
Orthopedist,250 EGP,5,Waiting Time : 22 Minutes,null,From 9 Visitors
Orthopedist,300 EGP,5,Waiting Time : 13 Minutes,null,From 6 Visitors
Gastroenterologist,400 EGP,5,Waiting Time : 32 Minutes,null,From 9 Visitors
Allergist,400 EGP,5,Waiting Time : 10 Minutes,null,From 4 Visitors
Gynecologist,500 EGP,5,Waiting Time : 36 Minutes,null,From 9 Visitors
Anesthesiologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Hematologist,300 EGP,5,Waiting Time : 9 Minutes,null,From 6 Visitors
Ophthalmologist,250 EGP,5,Waiting Time : 8 Minutes,El-Maadi : nasr st elgazaaer st,From 28 Visitors
Ophthalmologist,130 EGP,5,Waiting Time : 9 Minutes,Damietta El Gadeeda : Centeral Area,From 26 Visitors
Pediatrician,300 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 9 Minutes,Nasr City : EL Nasr ST,From 5 Visitors
Internist,650 EGP,5,Waiting Time : 17 Minutes,null,From 7 Visitors
Neurosurgeon,750 EGP,5,Waiting Time : 24 Minutes,null,From 7 Visitors
Nutritionist,100 EGP,5,Waiting Time : 23 Minutes,null,From 5 Visitors
Surgical Oncologist,400 EGP,5,Waiting Time : 58 Minutes,null,From 4 Visitors
Internist,200 EGP,5,Waiting Time : 13 Minutes,null,From 29 Visitors
Gynecologist,500 EGP,5,Waiting Time : 8 Minutes,null,From 6 Visitors
Orthopedist,400 EGP,5,Waiting Time : 14 Minutes,null,From 7 Visitors
Nutritionist,300 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Cardiologist,300 EGP,5,Waiting Time : 15 Minutes,El-Manyal : El-Manyal street,From 51 Visitors
Gynecologist,750 EGP,5,Waiting Time : 16 Minutes,null,From 4 Visitors
Physiotherapist,250 EGP,5,Waiting Time : 12 Minutes,null,From 37 Visitors
Pulmonologist,350 EGP,5,Waiting Time : 20 Minutes,null,From 6 Visitors
Cardiologist,120 EGP,5,Waiting Time : 8 Minutes,El-Zagazig : the beginning of Farooq st,From 5 Visitors
Dentist,300 EGP,5,Waiting Time : 14 Minutes,null,From 5 Visitors
Cardiologist,300 EGP,5,Waiting Time : 16 Minutes,null,From 4 Visitors
Pediatrician,350 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Spinal Surgeon,250 EGP,5,Waiting Time : 32 Minutes,null,From 6 Visitors
Andrologist,250 EGP,5,Waiting Time : 10 Minutes,Hadayek El-Kobba : Teraet elgendy st,From 9 Visitors
Cardiologist,300 EGP,5,Waiting Time : 16 Minutes,null,From 5 Visitors
Dentist,100 EGP,5,Waiting Time : 9 Minutes,null,From 29 Visitors
Anesthesiologist,500 EGP,5,Waiting Time : 25 Minutes,null,From 6 Visitors
Surgical Oncologist,150 EGP,5,Waiting Time : 15 Minutes,Tanta : Elmoderia,From 8 Visitors
General Surgeon,400 EGP,5,Waiting Time : 16 Minutes,null,From 5 Visitors
Gynecologist,250 EGP,5,Waiting Time : 15 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 11 Minutes,null,From 4 Visitors
Orthopedist,250 EGP,5,Waiting Time : 7 Minutes,El-Giza : Hamadan,From 5 Visitors
Infertility Specialist,525 EGP,5,Waiting Time : 52 Minutes,null,From 4 Visitors
Obesity Surgeon,450 EGP,5,Waiting Time : 43 Minutes,Heliopolis : 77 Abd ElHamid Badawy St. - Heliopolis - In front of El Shams Club - Above Spectra Restaurant .,From 62 Visitors
Pediatrician,650 EGP,5,Waiting Time : 40 Minutes,null,From 7 Visitors
Plastic Surgeon,200 EGP,5,Waiting Time : 32 Minutes,Faisal : Faisal street - Talbeia,From 9 Visitors
Physiotherapist,200 EGP,5,Waiting Time : 17 Minutes,Shoubra : shopra,From 10 Visitors
Orthopedist,400 EGP,5,Waiting Time : 12 Minutes,New Cairo : north teseen street,From 4 Visitors
General Surgeon,500 EGP,5,Waiting Time : 10 Minutes,null,From 5 Visitors
Dermatologist,500 EGP,5,Waiting Time : 34 Minutes,null,From 7 Visitors
Nutritionist,250 EGP,5,Waiting Time : 17 Minutes,Smouha : smouha garden city,From 6 Visitors
Gynecologist,120 EGP,5,Waiting Time : 13 Minutes,El-Mansoura : Elnour Tower-Salah Salem Street-Talkha,From 8 Visitors
Dentist,100 EGP,5,Waiting Time : 8 Minutes,null,From 23 Visitors
Cardiologist,400 EGP,5,Waiting Time : 19 Minutes,null,From 41 Visitors
Cardiologist,350 EGP,5,Waiting Time : 30 Minutes,"Heliopolis : Nehro,Heliopolis",From 6 Visitors
Gynecologist,500 EGP,5,Waiting Time : 15 Minutes,Heliopolis : Othman bin Afan,From 24 Visitors
Pediatrician,300 EGP,5,Waiting Time : 15 Minutes,null,From 6 Visitors
Gynecologist,450 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Gynecologist,300 EGP,5,Waiting Time : 9 Minutes,El-Rehab : Medical Park Elite,From 6 Visitors
Cardiologist,150 EGP,5,Waiting Time : 8 Minutes,Moharam Bek : Galal El Dosoky street -Wabour El Meah,From 8 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Pediatric Surgeon,400 EGP,5,Waiting Time : 15 Minutes,null,From 3 Visitors
General Surgeon,450 EGP,5,Waiting Time : 33 Minutes,null,From 3 Visitors
Dermatologist,400 EGP,5,Waiting Time : 30 Minutes,null,From 3 Visitors
Vascular Surgeon,500 EGP,5,Waiting Time : 33 Minutes,null,From 3 Visitors
Dentist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,"Heliopolis : Ahmed el Dardiry, Ard El Golf",From 3 Visitors
Pediatric Surgeon,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Oncologist,500 EGP,5,Waiting Time : 18 Minutes,null,From 3 Visitors
Gynecologist,300 EGP,5,Waiting Time : 8 Minutes,Nasr City : Ahmed Alzumor street,From 3 Visitors
General Surgeon,350 EGP,5,Waiting Time : 30 Minutes,El-Rehab : Infront of gate 6,From 3 Visitors
Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors
Orthopedist,300 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed : elmoaz plaza,From 3 Visitors
Ophthalmologist,100 EGP,5,Waiting Time : 17 Minutes,Fakous : Mostafa Kamel Street,From 4 Visitors
Dentist,150 EGP,5,Waiting Time : 6 Minutes,null,From 4 Visitors
Gynecologist,200 EGP,5,Waiting Time : 24 Minutes,Smouha : victor emmanual,From 4 Visitors
Gynecologist,250 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Cardiologist,350 EGP,5,Waiting Time : 9 Minutes,null,From 4 Visitors
Internist,350 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Scan Center,2 EGP,5,Waiting Time : 17 Minutes,null,From 4 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 8 Minutes,Hadayek Helwan : almonzer,From 4 Visitors
Gynecologist,300 EGP,5,Waiting Time : 28 Minutes,null,From 4 Visitors
Dentist,175 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 10 Minutes,null,From 4 Visitors
Pediatrician,350 EGP,5,Waiting Time : 21 Minutes,null,From 4 Visitors
Neurosurgeon,300 EGP,5,Waiting Time : 15 Minutes,El-Shorouk : Panorama Mall Street,From 4 Visitors
ENT Doctor,150 EGP,5,Waiting Time : 11 Minutes,Janaklees : Abo Qir street,From 4 Visitors
ENT Doctor,500 EGP,5,Waiting Time : 58 Minutes,null,From 4 Visitors
Surgical Oncologist,500 EGP,5,Waiting Time : 23 Minutes,null,From 4 Visitors
Rheumatologist,500 EGP,5,Waiting Time : 15 Minutes,null,From 4 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Dermatologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 25 Minutes,null,From 3 Visitors
Dentist,130 EGP,5,Waiting Time : 5 Minutes,null,From 3 Visitors
Gynecologist,140 EGP,5,Waiting Time : 4 Minutes,Damanhur : the garden street,From 3 Visitors
Psychiatrist,300 EGP,5,Waiting Time : 6 Minutes,null,From 3 Visitors
Nutritionist,650 EGP,,Waiting Time : 35791394 Hours and 7 Minutes,Heliopolis : Mohamed Al Dahan from Nabile Al Wakad,From 3 Visitors
Gynecologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Pulmonologist,300 EGP,5,Waiting Time : 18 Minutes,null,From 3 Visitors
Dentist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,100 EGP,5,Waiting Time : 8 Minutes,Heliopolis : mohamed farid,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 9 Minutes,null,From 3 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 7 Minutes,Hadayek El-Kobba : Alzawia Alhamraa,From 3 Visitors
Internist,200 EGP,5,Waiting Time : 13 Minutes,Sporting : portsaid,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,Smouha : Fawzy Moaaz street,From 3 Visitors
Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Internist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,6th of October : 16th unit - city stars,From 3 Visitors
Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors
Orthopedist,300 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed : elmoaz plaza,From 3 Visitors
Ophthalmologist,100 EGP,5,Waiting Time : 17 Minutes,Fakous : Mostafa Kamel Street,From 4 Visitors
Dentist,150 EGP,5,Waiting Time : 6 Minutes,null,From 4 Visitors
Gynecologist,200 EGP,5,Waiting Time : 24 Minutes,Smouha : victor emmanual,From 4 Visitors
Gynecologist,250 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Cardiologist,350 EGP,5,Waiting Time : 9 Minutes,null,From 4 Visitors
Internist,350 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Scan Center,2 EGP,5,Waiting Time : 17 Minutes,null,From 4 Visitors
Pediatric Surgeon,400 EGP,5,Waiting Time : 15 Minutes,null,From 3 Visitors
General Surgeon,450 EGP,5,Waiting Time : 33 Minutes,null,From 3 Visitors
Dermatologist,400 EGP,5,Waiting Time : 30 Minutes,null,From 3 Visitors
Vascular Surgeon,500 EGP,5,Waiting Time : 33 Minutes,null,From 3 Visitors
Dentist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,"Heliopolis : Ahmed el Dardiry, Ard El Golf",From 3 Visitors
Pediatric Surgeon,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Oncologist,500 EGP,5,Waiting Time : 18 Minutes,null,From 3 Visitors
Gynecologist,300 EGP,5,Waiting Time : 8 Minutes,Nasr City : Ahmed Alzumor street,From 3 Visitors
General Surgeon,350 EGP,5,Waiting Time : 30 Minutes,El-Rehab : Infront of gate 6,From 3 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,120 EGP,5,Waiting Time : 20 Minutes,null,From 3 Visitors
Nutritionist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Pediatrician,300 EGP,5,Waiting Time : 11 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Rheumatologist,300 EGP,5,Waiting Time : 28 Minutes,null,From 3 Visitors
Spinal Surgeon,400 EGP,5,Waiting Time : 15 Minutes,"Heliopolis : Nehro,Heliopolis",From 3 Visitors
Audiologist,650 EGP,5,Waiting Time : 1 Hour and 14 Minutes,null,From 3 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin towers,From 3 Visitors
General Surgeon,350,,null,null,null
Dentist,100 EGP,5,Waiting Time : 8 Minutes,Heliopolis : mohamed farid,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 9 Minutes,null,From 3 Visitors
Physiotherapist,100 EGP,5,Waiting Time : 7 Minutes,Hadayek El-Kobba : Alzawia Alhamraa,From 3 Visitors
Internist,200 EGP,5,Waiting Time : 13 Minutes,Sporting : portsaid,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,Smouha : Fawzy Moaaz street,From 3 Visitors
Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Internist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,6th of October : 16th unit - city stars,From 3 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Dermatologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 25 Minutes,null,From 3 Visitors
Dentist,130 EGP,5,Waiting Time : 5 Minutes,null,From 3 Visitors
Gynecologist,140 EGP,5,Waiting Time : 4 Minutes,Damanhur : the garden street,From 3 Visitors
Psychiatrist,300 EGP,5,Waiting Time : 6 Minutes,null,From 3 Visitors
Gynecologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 9 Minutes,null,From 3 Visitors
Dentist,100 EGP,5,Waiting Time : 8 Minutes,Heliopolis : mohamed farid,From 3 Visitors
Internist,200 EGP,5,Waiting Time : 13 Minutes,Sporting : portsaid,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,Smouha : Fawzy Moaaz street,From 3 Visitors
Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Internist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,6th of October : 16th unit - city stars,From 3 Visitors
Family Doctor,140 EGP,5,Waiting Time : 47 Minutes,Tanta : tanta sharawy st,From 3 Visitors
Pediatrician,650 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Gynecologist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Cardiologist,350 EGP,5,Waiting Time : 40 Minutes,null,From 3 Visitors
Pediatric Surgeon,500 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Pulmonologist,500 EGP,5,Waiting Time : 1 Hour and 2 Minutes,null,From 3 Visitors
ENT Doctor,500 EGP,5,Waiting Time : 23 Minutes,null,From 3 Visitors
Internist,300 EGP,5,Waiting Time : 23 Minutes,null,From 3 Visitors
Gynecologist,150 EGP,5,Waiting Time : 8 Minutes,El Salam City : ElRabeaa Street-Branched From Omar Ibn Elkhatab Street-Gesr ElSuez,From 3 Visitors
Vascular Surgeon,500 EGP,5,Waiting Time : 46 Minutes,null,From 3 Visitors
Vascular Surgeon,500 EGP,5,Waiting Time : 50 Minutes,null,From 3 Visitors
Nutritionist,700 EGP,5,Waiting Time : 13 Minutes,El-Sheikh Zayed : Elmehwar Elmarkazi,From 3 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 1 Hour and 7 Minutes,null,From 3 Visitors
Psychiatrist,160 EGP,5,Waiting Time : 5 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,6th of October : Street 19-vranched from elkhazan street-neighborhood 3-Fifth district,From 3 Visitors
Cardiologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 35 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 29 Minutes,null,From 3 Visitors
Gynecologist,300 EGP,5,Waiting Time : 4 Minutes,null,From 3 Visitors
Internist,500 EGP,5,Waiting Time : 47 Minutes,null,From 3 Visitors
Nutritionist,700 EGP,5,Waiting Time : 32 Minutes,El-Sheikh Zayed : ElMehwar Elmarkazi,From 3 Visitors
Pediatrician,300 EGP,5,Waiting Time : 11 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Rheumatologist,300 EGP,5,Waiting Time : 28 Minutes,null,From 3 Visitors
Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin towers,From 3 Visitors
Gynecologist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Cardiologist,350 EGP,5,Waiting Time : 40 Minutes,null,From 3 Visitors
Pediatric Surgeon,500 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Pulmonologist,500 EGP,5,Waiting Time : 1 Hour and 2 Minutes,null,From 3 Visitors
ENT Doctor,500 EGP,5,Waiting Time : 23 Minutes,null,From 3 Visitors
Scan Center,2 EGP,5,Waiting Time : 40 Minutes,null,From 3 Visitors
Laboratory,2 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
General Surgeon,300 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dermatologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Neurologist,400 EGP,5,Waiting Time : 28 Minutes,null,From 3 Visitors
Dentist,200 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 25 Minutes,null,From 3 Visitors
Gynecologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,350 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Pulmonologist,300 EGP,5,Waiting Time : 22 Minutes,New Cairo : The  Northen 90 st,From 3 Visitors
Internist,400 EGP,5,Waiting Time : 1 Minute,null,From 3 Visitors
Allergist,400 EGP,5,Waiting Time : 8 Minutes,New Cairo : north teseen street,From 3 Visitors
Rheumatologist,250 EGP,5,Waiting Time : 17 Minutes,null,From 3 Visitors
Dermatologist,300 EGP,5,Waiting Time : 13 Minutes,null,From 3 Visitors
Dermatologist,200 EGP,5,Waiting Time : 37 Minutes,null,From 3 Visitors
Gynecologist,300 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Cardiologist,450 EGP,5,Waiting Time : 35 Minutes,null,From 3 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Dentist,150 EGP,5,Waiting Time : 8 Minutes,null,From 3 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura : Gomhoria,From 16 Visitors
Pediatric Surgeon,300 EGP,5,Waiting Time : 28 Minutes,null,From 27 Visitors
Gynecologist,150 EGP,5,Waiting Time : 13 Minutes,Mahalla : shokry elkoatly,From 27 Visitors
Surgical Oncologist,400 EGP,5,Waiting Time : 15 Minutes,Nasr City : Youssef abaas and Elnasr street interaction,From 55 Visitors
Dentist,150 EGP,5,Waiting Time : 5 Minutes,North Coast : Ali Ebn Abi Taleb Street,From 28 Visitors
Endocrinologist,600 EGP,5,Waiting Time : 17 Minutes,Heliopolis : Omar Ibn Al Khattab - Ismailia Sq.,From 84 Visitors
Dentist,300 EGP,5,Waiting Time : 10 Minutes,El-Maadi : 263 street from Al Nasr Road,From 1067 Visitors
Gynecologist,150 EGP,5,Waiting Time : 37 Minutes,Damietta El Gadeeda : al azhar hospital,From 57 Visitors
Dentist,200 EGP,5,Waiting Time : 7 Minutes,El-Shorouk : terrace mall,From 57 Visitors
General Surgeon,220 EGP,5,Waiting Time : 17 Minutes,Assiut city : elnemas,From 29 Visitors
Orthopedist,150 EGP,5,Waiting Time : 12 Minutes,El-Zaitoun : ElMatarya St,From 87 Visitors
Cardiologist,250 EGP,5,Waiting Time : 13 Minutes,El-Maadi : Elmansour Tower-Street 77 infront of Maadi Club Fence,From 236 Visitors
Cardiologist,300 EGP,5,Waiting Time : 30 Minutes,null,From 60 Visitors
Dentist,100 EGP,5,Waiting Time : 14 Minutes,Faisal : king faisal street- al Marioteya,From 60 Visitors
Cardiologist,400 EGP,5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Downtown mall 2-besides total fuel station,From 90 Visitors
Ophthalmologist,210 EGP,5,Waiting Time : 26 Minutes,Bulkly : Bulkly / Al-Hadaya Tram Station / Al-Khaleej Building (A),From 220 Visitors
Gynecologist,200 EGP,5,Waiting Time : 10 Minutes,Port Said City : safya zaghlol and mashrak st,From 32 Visitors
Obesity Surgeon,250 EGP,5,Waiting Time : 27 Minutes,null,From 65 Visitors
